Subregion,Subregion_norm,NE_name,NE_name_norm,score,country,top_candidates
Bordj Bou Arrer,bordj bou arrer,Bordj Bou Arréridj,bordj bou arreridj,91,Algeria,"[{""candidate_NE_name"": ""Bordj Bou Arréridj"", ""candidate_NE_name_norm"": ""bordj bou arreridj"", ""score"": 91, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Zou"", ""candidate_NE_name_norm"": ""zou"", ""score"": 68, ""country"": ""Benin""}, {""candidate_NE_name"": ""Harare"", ""candidate_NE_name_norm"": ""harare"", ""score"": 68, ""country"": ""Zimbabwe""}, {""candidate_NE_name"": ""Nord"", ""candidate_NE_name_norm"": ""nord"", ""score"": 68, ""country"": ""Cameroon""}, {""candidate_NE_name"": ""Borno"", ""candidate_NE_name_norm"": ""borno"", ""score"": 68, ""country"": ""Nigeria""}]"
Bouira,bouira,Bouira,bouira,100,Algeria,"[{""candidate_NE_name"": ""Bouira"", ""candidate_NE_name_norm"": ""bouira"", ""score"": 100, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Lira"", ""candidate_NE_name_norm"": ""lira"", ""score"": 77, ""country"": ""Uganda""}, {""candidate_NE_name"": ""Busia"", ""candidate_NE_name_norm"": ""busia"", ""score"": 73, ""country"": ""Uganda""}, {""candidate_NE_name"": ""Oum el Bouaghi"", ""candidate_NE_name_norm"": ""oum el bouaghi"", ""score"": 68, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Bomi"", ""candidate_NE_name_norm"": ""bomi"", ""score"": 68, ""country"": ""Liberia""}]"
Boumerdes,boumerdes,Boumerdès,boumerdes,100,Algeria,"[{""candidate_NE_name"": ""Boumerdès"", ""candidate_NE_name_norm"": ""boumerdes"", ""score"": 100, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Ouémé"", ""candidate_NE_name_norm"": ""oueme"", ""score"": 72, ""country"": ""Benin""}, {""candidate_NE_name"": ""Est"", ""candidate_NE_name_norm"": ""est"", ""score"": 72, ""country"": ""Cameroon""}, {""candidate_NE_name"": ""Médéa"", ""candidate_NE_name_norm"": ""medea"", ""score"": 72, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Soum"", ""candidate_NE_name_norm"": ""soum"", ""score"": 68, ""country"": ""Burkina Faso""}]"
Chlef,chlef,Chlef,chlef,100,Algeria,"[{""candidate_NE_name"": ""Chlef"", ""candidate_NE_name_norm"": ""chlef"", ""score"": 100, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Roche Caïman"", ""candidate_NE_name_norm"": ""roche caiman"", ""score"": 64, ""country"": ""Seychelles""}, {""candidate_NE_name"": ""Cacheu"", ""candidate_NE_name_norm"": ""cacheu"", ""score"": 55, ""country"": ""Guinea Bissau""}, {""candidate_NE_name"": ""Ntcheu"", ""candidate_NE_name_norm"": ""ntcheu"", ""score"": 55, ""country"": ""Malawi""}, {""candidate_NE_name"": ""Le Kef"", ""candidate_NE_name_norm"": ""le kef"", ""score"": 55, ""country"": ""Tunisia""}]"
Constantine,constantine,Constantine,constantine,100,Algeria,"[{""candidate_NE_name"": ""Constantine"", ""candidate_NE_name_norm"": ""constantine"", ""score"": 100, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Coast"", ""candidate_NE_name_norm"": ""coast"", ""score"": 72, ""country"": ""Kenya""}, {""candidate_NE_name"": ""Sinoe"", ""candidate_NE_name_norm"": ""sinoe"", ""score"": 68, ""country"": ""Liberia""}, {""candidate_NE_name"": ""Ashanti"", ""candidate_NE_name_norm"": ""ashanti"", ""score"": 64, ""country"": ""Ghana""}, {""candidate_NE_name"": ""Bié"", ""candidate_NE_name_norm"": ""bie"", ""score"": 60, ""country"": ""Angola""}]"
Djelfa,djelfa,Djelfa,djelfa,100,Algeria,"[{""candidate_NE_name"": ""Djelfa"", ""candidate_NE_name_norm"": ""djelfa"", ""score"": 100, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Lofa"", ""candidate_NE_name_norm"": ""lofa"", ""score"": 77, ""country"": ""Liberia""}, {""candidate_NE_name"": ""Delta"", ""candidate_NE_name_norm"": ""delta"", ""score"": 73, ""country"": ""Nigeria""}, {""candidate_NE_name"": ""Aïn Defla"", ""candidate_NE_name_norm"": ""ain defla"", ""score"": 65, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Andjazîdja"", ""candidate_NE_name_norm"": ""andjazidja"", ""score"": 60, ""country"": ""Comoros""}]"
El Bayadh,el bayadh,El Bayadh,el bayadh,100,Algeria,"[{""candidate_NE_name"": ""El Bayadh"", ""candidate_NE_name_norm"": ""el bayadh"", ""score"": 100, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Bay"", ""candidate_NE_name_norm"": ""bay"", ""score"": 90, ""country"": ""Somalia""}, {""candidate_NE_name"": ""Oum el Bouaghi"", ""candidate_NE_name_norm"": ""oum el bouaghi"", ""score"": 86, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Laâyoune - Boujdour - Sakia El Hamra"", ""candidate_NE_name_norm"": ""laayoune - boujdour - sakia el hamra"", ""score"": 86, ""country"": ""Morocco""}, {""candidate_NE_name"": ""Hodh el Gharbi"", ""candidate_NE_name_norm"": ""hodh el gharbi"", ""score"": 86, ""country"": ""Mauritania""}]"
El Oued,el oued,El Oued,el oued,100,Algeria,"[{""candidate_NE_name"": ""El Oued"", ""candidate_NE_name_norm"": ""el oued"", ""score"": 100, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Oum el Bouaghi"", ""candidate_NE_name_norm"": ""oum el bouaghi"", ""score"": 86, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Laâyoune - Boujdour - Sakia El Hamra"", ""candidate_NE_name_norm"": ""laayoune - boujdour - sakia el hamra"", ""score"": 86, ""country"": ""Morocco""}, {""candidate_NE_name"": ""Oued el Dahab"", ""candidate_NE_name_norm"": ""oued el dahab"", ""score"": 86, ""country"": ""Morocco""}, {""candidate_NE_name"": ""Hodh el Gharbi"", ""candidate_NE_name_norm"": ""hodh el gharbi"", ""score"": 86, ""country"": ""Mauritania""}]"
El-Tarf,el-tarf,El Tarf,el tarf,86,Algeria,"[{""candidate_NE_name"": ""El Tarf"", ""candidate_NE_name_norm"": ""el tarf"", ""score"": 86, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Delta"", ""candidate_NE_name_norm"": ""delta"", ""score"": 67, ""country"": ""Nigeria""}, {""candidate_NE_name"": ""Gedarif"", ""candidate_NE_name_norm"": ""gedarif"", ""score"": 57, ""country"": ""Sudan""}, {""candidate_NE_name"": ""Bel Air"", ""candidate_NE_name_norm"": ""bel air"", ""score"": 57, ""country"": ""Seychelles""}, {""candidate_NE_name"": ""Tarrafal de São Nicolau"", ""candidate_NE_name_norm"": ""tarrafal de sao nicolau"", ""score"": 55, ""country"": ""Cape Verde""}]"
Ghardaia,ghardaia,Ghardaïa,ghardaia,100,Algeria,"[{""candidate_NE_name"": ""Ghardaïa"", ""candidate_NE_name_norm"": ""ghardaia"", ""score"": 100, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Ghat"", ""candidate_NE_name_norm"": ""ghat"", ""score"": 77, ""country"": ""Libya""}, {""candidate_NE_name"": ""Abia"", ""candidate_NE_name_norm"": ""abia"", ""score"": 77, ""country"": ""Nigeria""}, {""candidate_NE_name"": ""Ghadamis"", ""candidate_NE_name_norm"": ""ghadamis"", ""score"": 75, ""country"": ""Libya""}, {""candidate_NE_name"": ""Praia"", ""candidate_NE_name_norm"": ""praia"", ""score"": 72, ""country"": ""Cape Verde""}]"
Guelma,guelma,Guelma,guelma,100,Algeria,"[{""candidate_NE_name"": ""Guelma"", ""candidate_NE_name_norm"": ""guelma"", ""score"": 100, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Guelmim - Es-Semara"", ""candidate_NE_name_norm"": ""guelmim - es-semara"", ""score"": 82, ""country"": ""Morocco""}, {""candidate_NE_name"": ""Guéra"", ""candidate_NE_name_norm"": ""guera"", ""score"": 73, ""country"": ""Chad""}, {""candidate_NE_name"": ""São Miguel"", ""candidate_NE_name_norm"": ""sao miguel"", ""score"": 72, ""country"": ""Cape Verde""}, {""candidate_NE_name"": ""Benguela"", ""candidate_NE_name_norm"": ""benguela"", ""score"": 71, ""country"": ""Angola""}]"
Illizi,illizi,Illizi,illizi,100,Algeria,"[{""candidate_NE_name"": ""Illizi"", ""candidate_NE_name_norm"": ""illizi"", ""score"": 100, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Ziro"", ""candidate_NE_name_norm"": ""ziro"", ""score"": 60, ""country"": ""Burkina Faso""}, {""candidate_NE_name"": ""Nana-Grébizi"", ""candidate_NE_name_norm"": ""nana-grebizi"", ""score"": 60, ""country"": ""Central African Republic""}, {""candidate_NE_name"": ""Mila"", ""candidate_NE_name_norm"": ""mila"", ""score"": 60, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Beau Bassin-Rose Hill"", ""candidate_NE_name_norm"": ""beau bassin-rose hill"", ""score"": 60, ""country"": ""Mauritius""}]"
Jijel,jijel,Jijel,jijel,100,Algeria,"[{""candidate_NE_name"": ""Jijel"", ""candidate_NE_name_norm"": ""jijel"", ""score"": 100, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Noumbiel"", ""candidate_NE_name_norm"": ""noumbiel"", ""score"": 68, ""country"": ""Burkina Faso""}, {""candidate_NE_name"": ""Bié"", ""candidate_NE_name_norm"": ""bie"", ""score"": 60, ""country"": ""Angola""}, {""candidate_NE_name"": ""Tandjilé"", ""candidate_NE_name_norm"": ""tandjile"", ""score"": 60, ""country"": ""Chad""}, {""candidate_NE_name"": ""Jinja"", ""candidate_NE_name_norm"": ""jinja"", ""score"": 60, ""country"": ""Uganda""}]"
Khenchela,khenchela,Khenchela,khenchela,100,Algeria,"[{""candidate_NE_name"": ""Khenchela"", ""candidate_NE_name_norm"": ""khenchela"", ""score"": 100, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Lac"", ""candidate_NE_name_norm"": ""lac"", ""score"": 72, ""country"": ""Chad""}, {""candidate_NE_name"": ""Beyla"", ""candidate_NE_name_norm"": ""beyla"", ""score"": 68, ""country"": ""Guinea""}, {""candidate_NE_name"": ""Delta"", ""candidate_NE_name_norm"": ""delta"", ""score"": 68, ""country"": ""Nigeria""}, {""candidate_NE_name"": ""Huíla"", ""candidate_NE_name_norm"": ""huila"", ""score"": 60, ""country"": ""Angola""}]"
Laghouat,laghouat,Laghouat,laghouat,100,Algeria,"[{""candidate_NE_name"": ""Laghouat"", ""candidate_NE_name_norm"": ""laghouat"", ""score"": 100, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Zaghouan"", ""candidate_NE_name_norm"": ""zaghouan"", ""score"": 75, ""country"": ""Tunisia""}, {""candidate_NE_name"": ""Houet"", ""candidate_NE_name_norm"": ""houet"", ""score"": 72, ""country"": ""Burkina Faso""}, {""candidate_NE_name"": ""Lagos"", ""candidate_NE_name_norm"": ""lagos"", ""score"": 72, ""country"": ""Nigeria""}, {""candidate_NE_name"": ""Lac"", ""candidate_NE_name_norm"": ""lac"", ""score"": 72, ""country"": ""Chad""}]"
M'Sila,msila,M'Sila,msila,100,Algeria,"[{""candidate_NE_name"": ""M'Sila"", ""candidate_NE_name_norm"": ""msila"", ""score"": 100, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Mila"", ""candidate_NE_name_norm"": ""mila"", ""score"": 89, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Sila"", ""candidate_NE_name_norm"": ""sila"", ""score"": 89, ""country"": ""Chad""}, {""candidate_NE_name"": ""Tissemsilt"", ""candidate_NE_name_norm"": ""tissemsilt"", ""score"": 72, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Lac"", ""candidate_NE_name_norm"": ""lac"", ""score"": 72, ""country"": ""Chad""}]"
Mascara,mascara,Mascara,mascara,100,Algeria,"[{""candidate_NE_name"": ""Mascara"", ""candidate_NE_name_norm"": ""mascara"", ""score"": 100, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Arta"", ""candidate_NE_name_norm"": ""arta"", ""score"": 77, ""country"": ""Djibouti""}, {""candidate_NE_name"": ""Kara"", ""candidate_NE_name_norm"": ""kara"", ""score"": 77, ""country"": ""Togo""}, {""candidate_NE_name"": ""Mara"", ""candidate_NE_name_norm"": ""mara"", ""score"": 77, ""country"": ""United Republic of Tanzania""}, {""candidate_NE_name"": ""Arua"", ""candidate_NE_name_norm"": ""arua"", ""score"": 77, ""country"": ""Uganda""}]"
Medea,medea,Médéa,medea,100,Algeria,"[{""candidate_NE_name"": ""Médéa"", ""candidate_NE_name_norm"": ""medea"", ""score"": 100, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Médenine"", ""candidate_NE_name_norm"": ""medenine"", ""score"": 80, ""country"": ""Tunisia""}, {""candidate_NE_name"": ""Boumerdès"", ""candidate_NE_name_norm"": ""boumerdes"", ""score"": 72, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Federal Capital Territory"", ""candidate_NE_name_norm"": ""federal capital territory"", ""score"": 72, ""country"": ""Nigeria""}, {""candidate_NE_name"": ""Boulkiemdé"", ""candidate_NE_name_norm"": ""boulkiemde"", ""score"": 68, ""country"": ""Burkina Faso""}]"
Mila,mila,Mila,mila,100,Algeria,"[{""candidate_NE_name"": ""Mila"", ""candidate_NE_name_norm"": ""mila"", ""score"": 100, ""country"": ""Algeria""}, {""candidate_NE_name"": ""M'Sila"", ""candidate_NE_name_norm"": ""msila"", ""score"": 89, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Sila"", ""candidate_NE_name_norm"": ""sila"", ""score"": 75, ""country"": ""Chad""}, {""candidate_NE_name"": ""Malanje"", ""candidate_NE_name_norm"": ""malanje"", ""score"": 68, ""country"": ""Angola""}, {""candidate_NE_name"": ""Tissemsilt"", ""candidate_NE_name_norm"": ""tissemsilt"", ""score"": 68, ""country"": ""Algeria""}]"
Mostaganem,mostaganem,Mostaganem,mostaganem,100,Algeria,"[{""candidate_NE_name"": ""Mostaganem"", ""candidate_NE_name_norm"": ""mostaganem"", ""score"": 100, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Kanem"", ""candidate_NE_name_norm"": ""kanem"", ""score"": 80, ""country"": ""Chad""}, {""candidate_NE_name"": ""Tagant"", ""candidate_NE_name_norm"": ""tagant"", ""score"": 75, ""country"": ""Mauritania""}, {""candidate_NE_name"": ""Imo"", ""candidate_NE_name_norm"": ""imo"", ""score"": 72, ""country"": ""Nigeria""}, {""candidate_NE_name"": ""Tanga"", ""candidate_NE_name_norm"": ""tanga"", ""score"": 72, ""country"": ""United Republic of Tanzania""}]"
Naama,naama,Naâma,naama,100,Algeria,"[{""candidate_NE_name"": ""Naâma"", ""candidate_NE_name_norm"": ""naama"", ""score"": 100, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Namayingo"", ""candidate_NE_name_norm"": ""namayingo"", ""score"": 80, ""country"": ""Uganda""}, {""candidate_NE_name"": ""Nayala"", ""candidate_NE_name_norm"": ""nayala"", ""score"": 73, ""country"": ""Burkina Faso""}, {""candidate_NE_name"": ""Nana-Mambéré"", ""candidate_NE_name_norm"": ""nana-mambere"", ""score"": 72, ""country"": ""Central African Republic""}, {""candidate_NE_name"": ""Sud-Bandama"", ""candidate_NE_name_norm"": ""sud-bandama"", ""score"": 72, ""country"": ""Ivory Coast""}]"
Oran,oran,Oran,oran,100,Algeria,"[{""candidate_NE_name"": ""Oran"", ""candidate_NE_name_norm"": ""oran"", ""score"": 100, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Bamingui-Bangoran"", ""candidate_NE_name_norm"": ""bamingui-bangoran"", ""score"": 90, ""country"": ""Central African Republic""}, {""candidate_NE_name"": ""Atakora"", ""candidate_NE_name_norm"": ""atakora"", ""score"": 77, ""country"": ""Benin""}, {""candidate_NE_name"": ""Tabora"", ""candidate_NE_name_norm"": ""tabora"", ""score"": 77, ""country"": ""United Republic of Tanzania""}, {""candidate_NE_name"": ""Littoral"", ""candidate_NE_name_norm"": ""littoral"", ""score"": 68, ""country"": ""Benin""}]"
Ouargla,ouargla,Ouargla,ouargla,100,Algeria,"[{""candidate_NE_name"": ""Ouargla"", ""candidate_NE_name_norm"": ""ouargla"", ""score"": 100, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Zou"", ""candidate_NE_name_norm"": ""zou"", ""score"": 72, ""country"": ""Benin""}, {""candidate_NE_name"": ""Lac"", ""candidate_NE_name_norm"": ""lac"", ""score"": 72, ""country"": ""Chad""}, {""candidate_NE_name"": ""Oudalan"", ""candidate_NE_name_norm"": ""oudalan"", ""score"": 71, ""country"": ""Burkina Faso""}, {""candidate_NE_name"": ""Ouaka"", ""candidate_NE_name_norm"": ""ouaka"", ""score"": 67, ""country"": ""Central African Republic""}]"
Oum El Bouaghi,oum el bouaghi,Oum el Bouaghi,oum el bouaghi,100,Algeria,"[{""candidate_NE_name"": ""Oum el Bouaghi"", ""candidate_NE_name_norm"": ""oum el bouaghi"", ""score"": 100, ""country"": ""Algeria""}, {""candidate_NE_name"": ""El Tarf"", ""candidate_NE_name_norm"": ""el tarf"", ""score"": 86, ""country"": ""Algeria""}, {""candidate_NE_name"": ""El Bayadh"", ""candidate_NE_name_norm"": ""el bayadh"", ""score"": 86, ""country"": ""Algeria""}, {""candidate_NE_name"": ""El Oued"", ""candidate_NE_name_norm"": ""el oued"", ""score"": 86, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Laâyoune - Boujdour - Sakia El Hamra"", ""candidate_NE_name_norm"": ""laayoune - boujdour - sakia el hamra"", ""score"": 86, ""country"": ""Morocco""}]"
Relizane,relizane,Relizane,relizane,100,Algeria,"[{""candidate_NE_name"": ""Relizane"", ""candidate_NE_name_norm"": ""relizane"", ""score"": 100, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Kanem"", ""candidate_NE_name_norm"": ""kanem"", ""score"": 68, ""country"": ""Chad""}, {""candidate_NE_name"": ""Lira"", ""candidate_NE_name_norm"": ""lira"", ""score"": 68, ""country"": ""Uganda""}, {""candidate_NE_name"": ""Zaire"", ""candidate_NE_name_norm"": ""zaire"", ""score"": 60, ""country"": ""Angola""}, {""candidate_NE_name"": ""Neno"", ""candidate_NE_name_norm"": ""neno"", ""score"": 60, ""country"": ""Malawi""}]"
Saida,saida,Saïda,saida,100,Algeria,"[{""candidate_NE_name"": ""Saïda"", ""candidate_NE_name_norm"": ""saida"", ""score"": 100, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Skikda"", ""candidate_NE_name_norm"": ""skikda"", ""score"": 73, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Salima"", ""candidate_NE_name_norm"": ""salima"", ""score"": 73, ""country"": ""Malawi""}, {""candidate_NE_name"": ""Sal"", ""candidate_NE_name_norm"": ""sal"", ""score"": 72, ""country"": ""Cape Verde""}, {""candidate_NE_name"": ""Bur Sa`id"", ""candidate_NE_name_norm"": ""bur sa`id"", ""score"": 72, ""country"": ""Egypt""}]"
Setif,setif,Sétif,setif,100,Algeria,"[{""candidate_NE_name"": ""Sétif"", ""candidate_NE_name_norm"": ""setif"", ""score"": 100, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Tamanghasset"", ""candidate_NE_name_norm"": ""tamanghasset"", ""score"": 68, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Est"", ""candidate_NE_name_norm"": ""est"", ""score"": 60, ""country"": ""Cameroon""}, {""candidate_NE_name"": ""Monastir"", ""candidate_NE_name_norm"": ""monastir"", ""score"": 60, ""country"": ""Tunisia""}, {""candidate_NE_name"": ""Ekiti"", ""candidate_NE_name_norm"": ""ekiti"", ""score"": 60, ""country"": ""Nigeria""}]"
Sidi Bel Abbes,sidi bel abbes,Sidi Bel Abbès,sidi bel abbes,100,Algeria,"[{""candidate_NE_name"": ""Sidi Bel Abbès"", ""candidate_NE_name_norm"": ""sidi bel abbes"", ""score"": 100, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Bel Air"", ""candidate_NE_name_norm"": ""bel air"", ""score"": 86, ""country"": ""Seychelles""}, {""candidate_NE_name"": ""Bel Ombre"", ""candidate_NE_name_norm"": ""bel ombre"", ""score"": 86, ""country"": ""Seychelles""}, {""candidate_NE_name"": ""Est"", ""candidate_NE_name_norm"": ""est"", ""score"": 72, ""country"": ""Cameroon""}, {""candidate_NE_name"": ""Beyla"", ""candidate_NE_name_norm"": ""beyla"", ""score"": 72, ""country"": ""Guinea""}]"
